"","team","average_points","playoffs","division_titles","conference_championships","championships"
"1","Toronto Maple Leafs",83.4578,6473,216,372,118
"2","Montreal Canadiens",99.1184,9996,6148,1051,477
"3","Boston Bruins",92.1534,9949,2023,2039,1137
"4","Detroit Red Wings",97.085,9780,3830,2961,1510
"5","Buffalo Sabres",91.1689,9904,1719,439,155
"6","Ottawa Senators",45.9129,3,0,0,0
"7","Tampa Bay Lightning",60.848,56,0,0,0
"8","New York Rangers",93.2736,8718,1025,228,65
"9","Pittsburgh Penguins",105.3438,9945,7624,4541,3219
"10","Philadelphia Flyers",77.8242,1680,17,40,11
"11","New York Islanders",84.058,4546,126,227,91
"12","Washington Capitals",92.4812,8564,895,867,421
"13","New Jersey Devils",87.6033,6547,313,248,82
"14","Hartford Whalers",67.2751,1324,0,2,0
"15","Chicago Blackhawks",99.1773,9900,5278,2443,1136
"16","Minnesota North Stars",82.4435,5802,167,63,5
"17","St. Louis Blues",86.847,7989,509,417,111
"18","Quebec Nordiques",79.9187,8824,110,318,122
"19","Los Angeles Kings",88.7248,9160,1097,464,120
"20","Vancouver Canucks",97.473,9910,4880,1767,718
"21","Calgary Flames",95.3296,9824,3571,1188,412
"22","Winnipeg Jets",84.451,8001,412,319,90
"23","Edmonton Oilers",76.1747,3103,40,6,0
"24","San Jose Sharks",47.8568,2,0,0,0
